age,ast_per_g,awards,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,games,games_started,mp_per_g,name_display,orb_per_g,pf_per_g,pos,pts_per_g,stl_per_g,team_name_abbr,tov_per_g,trb_per_g
29,7.9,"MVP-5,DPOY-11,AS,NBA1",0.1,3.3,.453,.451,8.9,19.7,.308,1.4,4.5,.424,10.3,24.2,.835,8.7,10.5,75,75,42.3,Allen Iverson,0.7,1.9,PG,30.7,2.4,PHI,4.6,4.0
26,6.0,"AS,NBA3",0.8,4.5,.482,.472,6.7,14.2,.339,2.0,5.9,.433,8.7,20.1,.816,8.2,10.1,66,66,40.7,Kobe Bryant,1.4,2.6,SG,27.6,1.3,LAL,4.1,5.9
20,7.2,"MVP-6,AS,NBA2",0.7,6.0,.504,.499,8.6,17.2,.351,1.4,3.9,.472,9.9,21.1,.750,6.0,8.0,80,80,42.4,LeBron James,1.4,1.8,SF,27.2,2.2,CLE,3.3,7.4
26,3.1,"MVP-3,AS,NBA1",1.5,8.5,.490,.470,7.3,15.6,.399,1.2,2.9,.459,8.5,18.5,.869,7.9,9.1,78,78,38.7,Dirk Nowitzki,1.2,2.8,PF,26.1,1.2,DAL,2.3,9.7
22,1.6,"MVP-9,AS,NBA2",1.6,6.2,.560,.564,9.3,16.5,.188,0.0,0.2,.559,9.3,16.7,.733,7.3,9.9,80,80,36.1,Amar'e Stoudemire,2.7,3.5,C,26.0,1.0,PHO,2.4,8.9
25,5.7,"MVP-7,AS,NBA3",0.7,5.3,.473,.468,7.3,15.7,.326,1.8,5.6,.431,9.2,21.3,.774,5.5,7.1,78,78,40.8,Tracy McGrady,0.9,2.1,SF,25.7,1.7,HOU,2.6,6.2
23,5.1,"MVP-12,AS,NBA3",0.3,3.7,.498,.469,5.6,12.0,.365,2.6,7.0,.431,8.2,19.0,.814,6.5,8.0,80,80,40.9,Gilbert Arenas,1.0,3.1,PG,25.5,1.7,WAS,3.0,4.7
28,4.2,"MVP-13,AS",0.6,3.8,.493,.463,7.4,15.9,.406,1.6,4.1,.452,9.0,20.0,.798,4.8,6.0,77,76,36.7,Vince Carter,1.4,3.2,SF,24.5,1.4,2TM,2.2,5.2
26,1.9,AS,2.0,6.9,.453,.454,8.8,19.3,.167,0.0,0.1,.452,8.8,19.4,.754,6.7,8.9,44,41,34.8,Jermaine O'Neal,1.9,3.9,PF,24.3,0.6,IND,3.0,8.8
23,6.8,"MVP-8,DPOY-21,AS,NBA2",1.1,3.7,.483,.485,8.0,16.5,.289,0.2,0.6,.478,8.2,17.1,.762,7.5,9.9,77,77,38.6,Dwyane Wade,1.4,3.0,SG,24.1,1.6,MIA,4.2,5.2
29,3.7,"MVP-9,AS,NBA2",0.1,3.4,.498,.459,5.5,12.0,.376,2.7,7.1,.428,8.2,19.2,.883,4.8,5.5,78,78,39.3,Ray Allen,1.0,2.1,SG,23.9,1.1,SEA,2.2,4.4
25,2.3,,0.1,3.2,.477,.463,6.9,15.0,.355,1.4,3.9,.441,8.3,18.9,.854,4.9,5.8,75,75,38.0,Michael Redd,1.0,2.0,SG,23.0,0.8,MIL,1.8,4.2
32,2.7,"MVP-2,DPOY-8,AS,NBA1",2.3,6.9,.601,.601,9.0,15.0,,0.0,0.0,.601,9.0,15.0,.461,4.8,10.5,73,73,34.1,Shaquille O'Neal,3.5,3.6,C,22.9,0.5,MIA,2.8,10.4
28,5.7,"MVP-11,DPOY-9,AS,NBA2",1.4,10.5,.504,.507,8.3,16.3,.240,0.1,0.3,.502,8.3,16.6,.811,5.4,6.7,82,82,38.1,Kevin Garnett,3.0,2.5,PF,22.2,1.5,MIN,2.7,13.5
25,3.4,,0.1,4.9,.457,.457,5.7,12.4,.304,0.8,2.5,.431,6.4,14.9,.857,8.5,10.0,66,60,36.9,Corey Maggette,1.1,2.9,SG,22.2,1.1,LAC,3.0,6.0
26,4.7,DPOY-6,0.3,5.0,.457,.465,6.7,14.4,.282,1.0,3.4,.430,7.7,17.8,.777,5.8,7.4,61,61,38.7,Larry Hughes,1.2,2.8,SG,22.0,2.9,WAS,2.5,6.3
27,8.1,,0.1,2.4,.506,.497,6.0,12.0,.354,1.4,4.0,.462,7.4,16.0,.834,5.6,6.7,82,82,40.0,Stephon Marbury,0.6,2.3,PG,21.7,1.5,NYK,2.8,3.0
24,3.9,,0.4,4.2,.492,.486,6.7,13.9,.338,1.7,5.1,.446,8.5,19.0,.693,3.0,4.3,72,72,37.8,Jason Richardson,1.7,2.2,SG,21.7,1.5,GSW,2.3,5.9
27,4.2,AS,0.5,5.6,.499,.481,5.5,11.4,.370,1.3,3.6,.455,6.8,14.9,.822,6.7,8.1,82,82,36.1,Paul Pierce,1.0,3.1,SF,21.6,1.6,BOS,2.8,6.6
27,7.0,,0.4,4.2,.438,.436,6.7,15.4,.299,0.5,1.6,.423,7.2,17.1,.823,6.4,7.8,78,78,38.2,Steve Francis,1.6,3.5,PG,21.3,1.4,ORL,4.1,5.8
20,2.6,,0.4,3.8,.448,.455,6.5,14.3,.266,0.6,2.1,.431,7.1,16.4,.796,6.1,7.6,75,75,34.8,Carmelo Anthony,1.9,3.1,SF,20.8,0.9,DEN,3.0,5.7
25,1.3,AS,0.9,3.9,.537,.499,5.1,10.1,.400,2.4,6.1,.462,7.5,16.2,.777,3.1,4.0,71,71,38.0,Rashard Lewis,1.5,2.2,SF,20.5,1.1,SEA,1.7,5.5
28,2.7,"MVP-4,DPOY-4,AS,NBA1",2.6,8.0,.498,.498,7.8,15.7,.333,0.0,0.1,.496,7.8,15.8,.670,4.6,6.9,66,66,33.4,Tim Duncan,3.1,2.2,PF,20.3,0.7,SAS,1.9,11.1
27,2.1,,0.2,3.4,.530,.475,4.2,8.8,.402,2.6,6.6,.444,6.8,15.4,.920,3.8,4.2,66,66,38.4,Peja StojakoviÄ,0.9,2.4,SF,20.1,1.2,SAC,1.5,4.3
25,2.6,,2.1,5.9,.503,.504,7.8,15.4,.000,0.0,0.0,.503,7.8,15.4,.752,4.5,6.0,81,81,37.0,Elton Brand,3.7,3.0,PF,20.0,0.8,LAC,2.3,9.5
32,3.3,AS,0.4,3.6,.511,.513,7.7,15.0,.231,0.0,0.2,.509,7.7,15.1,.821,4.2,5.1,67,67,34.9,Grant Hill,1.1,2.1,SF,19.7,1.4,ORL,2.4,4.7
26,6.8,,0.4,3.2,.495,.477,5.4,11.3,.360,1.6,4.6,.443,7.0,15.8,.775,4.0,5.2,80,80,38.6,Mike Bibby,1.0,2.4,PG,19.6,1.6,SAC,2.5,4.2
28,2.3,AS,0.2,5.3,.466,.457,6.6,14.4,.341,1.0,3.1,.437,7.6,17.5,.760,3.3,4.4,68,68,38.3,Antawn Jamison,2.4,2.2,PF,19.6,0.8,WAS,1.7,7.6
31,4.7,,0.8,7.2,.438,.436,8.1,18.5,.341,0.2,0.7,.433,8.3,19.1,.794,2.7,3.4,67,67,35.4,Chris Webber,1.9,3.2,PF,19.5,1.4,2TM,2.7,9.1
26,1.9,"MVP-14,DPOY-5,AS,NBA3",1.5,8.4,.520,.526,6.2,11.7,.334,1.4,4.2,.476,7.6,15.9,.833,2.8,3.4,81,81,38.8,Shawn Marion,2.9,2.5,PF,19.4,2.0,PHO,1.5,11.3
25,7.9,,0.3,3.1,.465,.435,3.8,8.7,.333,2.6,7.7,.387,6.3,16.3,.761,4.0,5.3,46,32,34.4,Baron Davis,0.7,2.7,PG,19.2,1.8,2TM,2.8,3.8
28,3.4,,0.8,6.7,.462,.455,6.1,13.5,.323,1.4,4.4,.422,7.5,17.9,.539,2.6,4.8,77,77,38.4,Antoine Walker,2.4,2.8,PF,19.1,1.2,2TM,3.3,9.0
23,1.9,,0.4,6.5,.448,.452,7.2,16.0,.000,0.0,0.1,.448,7.2,16.1,.815,4.5,5.5,46,37,34.8,Zach Randolph,3.1,2.4,PF,18.9,0.7,POR,2.4,9.6
26,4.9,,0.2,2.9,.455,.455,6.2,13.7,.305,0.5,1.6,.440,6.7,15.3,.858,4.8,5.6,76,76,38.5,Richard Hamilton,1.0,3.1,SG,18.7,1.0,DET,2.9,3.9
26,2.3,,0.3,4.0,.466,.426,4.5,10.5,.360,2.0,5.6,.403,6.5,16.1,.830,3.7,4.5,51,49,35.4,Stephen Jackson,0.9,3.0,SF,18.7,1.3,IND,2.4,4.9
32,2.6,,0.1,2.9,.501,.473,5.2,10.9,.394,1.3,3.4,.455,6.5,14.3,.854,4.1,4.8,81,65,33.5,Jalen Rose,0.5,2.3,SF,18.5,0.8,TOR,2.2,3.4
24,0.8,AS,2.0,5.8,.552,.552,6.7,12.2,,0.0,0.0,.552,6.7,12.2,.783,4.9,6.2,80,80,30.6,Yao Ming,2.6,3.7,C,18.3,0.4,HOU,2.5,8.4
23,2.8,,0.5,6.2,.521,.522,7.1,13.6,.000,0.0,0.0,.521,7.1,13.6,.698,3.7,5.3,51,51,34.7,Carlos Boozer,2.8,3.5,PF,17.8,0.8,UTA,2.7,9.0
24,2.4,,1.7,5.0,.514,.517,6.4,12.3,.167,0.0,0.1,.514,6.4,12.4,.768,5.0,6.6,56,53,32.0,Pau Gasol,2.3,2.6,PF,17.8,0.7,MEM,2.4,7.3
24,4.3,,0.3,2.4,.483,.431,3.6,8.4,.361,2.6,7.3,.398,6.2,15.7,.843,2.6,3.1,70,67,38.4,Jamal Crawford,0.5,1.9,SG,17.7,1.3,NYK,2.1,2.9
24,3.2,,0.2,4.8,.468,.479,6.6,13.8,.216,0.2,1.1,.459,6.9,14.9,.672,3.6,5.3,66,66,38.6,Al Harrington,2.2,3.8,SF,17.5,1.3,ATL,3.1,7.0
29,2.8,,0.5,2.8,.518,.437,3.9,8.9,.439,2.3,5.2,.438,6.2,14.1,.820,2.5,3.1,66,64,36.2,Cuttino Mobley,0.7,2.3,SG,17.2,1.1,2TM,2.0,3.5
27,2.7,,0.3,2.8,.443,.445,6.0,13.4,.125,0.0,0.1,.443,6.0,13.5,.802,5.3,6.6,80,71,36.2,Desmond Mason,1.1,2.5,SF,17.2,0.7,MIL,2.1,3.9
23,3.5,,0.3,3.7,.536,.454,4.5,9.9,.478,2.2,4.5,.461,6.6,14.4,.750,1.6,2.2,82,82,39.5,Joe Johnson,1.5,2.0,SF,17.1,1.0,PHO,1.8,5.1
29,1.3,AS,2.1,4.8,.469,.469,5.8,12.5,.286,0.0,0.1,.468,5.9,12.6,.799,5.2,6.4,78,78,33.5,Zydrunas Ilgauskas,3.8,4.0,C,16.9,0.7,CLE,2.4,8.6
28,2.1,,0.5,5.0,.514,.510,6.0,11.7,.385,0.3,0.7,.503,6.2,12.4,.866,4.1,4.7,54,49,34.6,Shareef Abdur-Rahim,2.3,2.8,PF,16.8,0.9,POR,2.2,7.3
20,1.9,,1.4,6.5,.472,.472,5.8,12.3,.300,0.0,0.1,.471,5.8,12.4,.760,5.1,6.7,81,81,37.2,Chris Bosh,2.4,2.8,PF,16.8,0.9,TOR,2.3,8.9
22,6.1,,0.1,3.1,.501,.516,6.2,12.0,.276,0.5,2.0,.482,6.7,14.0,.650,2.6,4.0,80,80,34.2,Tony Parker,0.6,2.1,PG,16.6,1.2,SAS,2.7,3.7
28,5.8,,0.1,2.8,.533,.454,3.0,6.6,.426,2.1,4.8,.442,5.1,11.4,.898,4.3,4.8,80,80,35.8,Chauncey Billups,0.6,2.4,PG,16.5,1.0,DET,2.3,3.4
24,2.7,MIP-1,0.2,4.2,.491,.470,5.7,12.0,.435,0.7,1.5,.466,6.3,13.6,.846,3.1,3.6,75,74,37.3,Bobby Simmons,1.7,3.0,SF,16.4,1.4,LAC,1.8,5.9
22,0.6,,0.9,3.5,.538,.538,6.2,11.6,,0.0,0.0,.538,6.2,11.6,.720,3.6,5.0,63,60,28.7,Eddy Curry,1.8,3.2,C,16.1,0.3,CHI,2.6,5.4
25,3.0,6MOY-2,0.3,2.2,.491,.488,5.1,10.5,.339,0.7,2.2,.462,5.9,12.7,.815,3.5,4.3,82,11,32.9,Ricky Davis,0.8,2.1,SG,16.0,1.1,BOS,2.5,3.0
27,3.9,"DPOY-18,AS",0.4,3.4,.533,.517,3.6,7.1,.376,1.3,3.5,.471,5.0,10.5,.803,4.8,6.0,74,74,29.6,Manu GinÃ³bili,1.0,2.6,SG,16.0,1.6,SAS,2.3,4.4
31,5.7,,0.0,3.1,.470,.409,3.4,8.3,.369,2.2,6.0,.392,5.6,14.4,.915,2.2,2.5,81,70,34.1,Damon Stoudamire,0.7,2.0,PG,15.8,1.1,POR,2.0,3.8
31,2.6,,0.3,3.4,.491,.436,4.2,9.7,.407,1.8,4.5,.427,6.0,14.2,.831,1.8,2.1,64,64,36.8,Michael Finley,0.7,1.9,SG,15.7,0.8,DAL,0.9,4.1
24,6.4,DPOY-12,0.3,3.5,.461,.420,3.9,9.3,.355,1.9,5.3,.397,5.8,14.6,.792,2.2,2.8,77,77,36.4,Kirk Hinrich,0.4,3.2,PG,15.7,1.6,CHI,2.3,3.9
23,3.2,DPOY-10,3.3,4.0,.520,.536,4.5,8.4,.299,0.6,1.9,.493,5.0,10.2,.784,5.0,6.3,41,37,32.9,Andrei Kirilenko,2.2,2.5,PF,15.6,1.6,UTA,2.2,6.2
28,3.9,,1.2,6.8,.528,.532,5.6,10.5,.263,0.1,0.3,.524,5.7,10.9,.812,4.2,5.1,56,56,37.3,Brad Miller,2.5,3.2,C,15.6,1.2,SAC,1.5,9.3
24,1.9,,0.3,3.9,.464,.465,5.2,11.2,.304,0.5,1.6,.445,5.7,12.9,.862,3.6,4.1,77,77,35.7,Caron Butler,1.9,2.8,SF,15.5,1.4,LAL,1.6,5.8
27,2.4,,1.1,5.2,.490,.496,6.3,12.8,.000,0.0,0.2,.490,6.3,13.0,.646,2.8,4.4,70,67,32.5,Kenyon Martin,2.1,3.3,PF,15.5,1.4,DEN,2.1,7.3
30,11.5,"MVP-1,AS,NBA1",0.1,2.6,.557,.526,4.5,8.5,.431,1.3,2.9,.502,5.7,11.4,.887,2.8,3.2,75,75,34.3,Steve Nash,0.8,1.8,PG,15.5,1.0,PHO,3.3,3.3
27,2.4,6MOY-6,0.2,2.7,.540,.536,5.0,9.3,.373,0.8,2.1,.506,5.7,11.3,.855,3.2,3.8,81,37,31.6,Wally Szczerbiak,1.0,2.2,SF,15.5,0.5,MIN,1.6,3.7
24,1.4,,0.5,7.2,.445,.417,4.8,11.4,.399,0.8,2.1,.414,5.6,13.5,.730,3.3,4.6,70,69,33.9,Troy Murphy,3.6,2.7,PF,15.4,0.8,GSW,1.5,10.8
25,3.7,,1.0,8.1,.496,.502,5.2,10.3,.308,0.6,1.8,.473,5.7,12.1,.695,3.2,4.7,64,64,36.3,Lamar Odom,2.1,3.3,PF,15.2,0.7,LAL,2.5,10.2
21,2.0,"ROY-2,6MOY-1",0.1,2.0,.474,.414,3.7,8.8,.405,1.6,4.0,.411,5.3,12.9,.863,2.8,3.3,82,3,24.4,Ben Gordon,0.7,2.7,SG,15.1,0.6,CHI,2.3,2.6
22,0.9,"ROY-1,DPOY-21",1.7,7.1,.447,.447,6.1,13.7,.000,0.0,0.0,.447,6.1,13.7,.609,2.9,4.7,73,73,35.6,Emeka Okafor,3.8,2.9,PF,15.1,0.8,CHA,1.7,10.9
24,2.0,,0.3,4.9,.498,.437,2.3,5.2,.358,2.9,8.0,.389,5.2,13.2,.739,1.7,2.3,79,78,35.9,Quentin Richardson,1.2,2.5,SG,14.9,1.2,PHO,1.3,6.1
30,2.3,6MOY-4,0.2,2.6,.438,.446,4.3,9.7,.267,0.6,2.1,.414,4.9,11.8,.849,4.5,5.3,56,7,28.9,Jerry Stackhouse,0.7,1.9,SG,14.9,0.9,DAL,1.9,3.3
39,2.2,,0.1,2.1,.503,.518,3.3,6.4,.322,1.5,4.5,.437,4.8,10.9,.933,3.8,4.1,66,66,31.9,Reggie Miller,0.3,1.7,SG,14.8,0.8,IND,1.2,2.4
24,3.0,DPOY-7,0.9,3.7,.511,.512,5.1,10.1,.341,0.6,1.7,.487,5.7,11.7,.807,2.7,3.3,82,82,37.1,Tayshaun Prince,1.6,2.0,SF,14.7,0.7,DET,1.6,5.3
30,1.8,DPOY-16,1.5,5.9,.475,.475,5.0,10.5,.318,0.9,3.0,.440,5.9,13.4,.697,1.7,2.5,79,79,34.0,Rasheed Wallace,2.2,3.0,PF,14.5,0.8,DET,1.6,8.2
23,1.6,,0.9,6.7,.495,.502,5.6,11.2,.179,0.1,0.3,.492,5.7,11.5,.810,3.1,3.8,82,80,30.8,Drew Gooden,2.5,2.8,PF,14.4,0.9,CLE,1.6,9.2
31,8.3,,0.1,6.0,.473,.425,3.2,7.5,.360,2.0,5.4,.398,5.2,13.0,.740,2.2,2.9,66,65,36.9,Jason Kidd,1.4,1.7,PG,14.4,1.9,NJN,2.5,7.4
28,6.4,,0.1,3.0,.485,.451,3.3,7.3,.357,1.7,4.9,.414,5.0,12.2,.740,2.4,3.2,80,78,34.0,Rafer Alston,0.5,2.7,PG,14.2,1.5,TOR,2.1,3.5
29,1.6,,0.2,2.5,.478,.479,6.1,12.8,.000,0.0,0.0,.478,6.1,12.8,.806,2.0,2.4,68,51,29.7,Lee Nailon,1.9,2.8,SF,14.2,0.5,NOH,1.6,4.4
28,1.8,,0.2,3.6,.494,.504,5.2,10.4,.209,0.1,0.6,.489,5.4,11.0,.778,3.1,4.0,78,55,33.1,Matt Harpring,2.5,3.2,SF,14.0,0.9,UTA,1.7,6.2
25,2.3,6MOY-14,0.3,2.6,.479,.438,3.5,8.0,.380,1.4,3.7,.419,4.9,11.7,.836,2.8,3.4,67,11,26.2,Hedo TÃ¼rkoÄlu,0.9,2.1,SF,14.0,0.6,ORL,1.8,3.5
30,4.4,,0.0,2.0,.523,.466,2.6,5.5,.387,2.1,5.5,.426,4.7,11.1,.803,2.0,2.5,82,82,35.4,Chucky Atkins,0.4,2.2,PG,13.6,0.9,LAL,1.8,2.4
28,6.9,,0.1,2.9,.480,.492,5.1,10.4,.154,0.1,0.5,.477,5.2,10.9,.838,3.1,3.7,82,82,34.8,Andre Miller,1.2,2.5,PG,13.6,1.5,DEN,2.7,4.1
35,5.1,,0.2,2.2,.484,.500,4.9,9.9,.262,0.5,1.7,.464,5.4,11.6,.865,2.3,2.6,59,38,25.8,Sam Cassell,0.4,2.7,PG,13.5,0.6,MIN,1.8,2.7
24,2.6,,0.3,4.3,.510,.479,3.8,8.0,.388,1.4,3.5,.451,5.2,11.5,.779,1.7,2.2,79,79,32.5,Mike Dunleavy,1.2,2.5,SF,13.4,1.0,GSW,1.7,5.5
24,2.9,,0.3,3.5,.597,.558,3.3,5.8,.433,1.8,4.3,.505,5.1,10.1,.720,1.4,2.0,76,51,30.0,Mike Miller,0.5,2.6,SF,13.4,0.7,MEM,1.7,3.9
25,1.2,,0.8,4.2,.512,.512,5.4,10.5,,0.0,0.0,.512,5.4,10.5,.745,2.3,3.1,72,72,31.6,PrimoÅ¾ Brezec,3.1,2.5,C,13.0,0.5,CHA,1.5,7.4
25,2.0,6MOY-11,0.8,5.1,.479,.486,4.1,8.5,.270,0.2,0.8,.468,4.3,9.2,.850,4.0,4.7,82,25,28.1,Mehmet Okur,2.4,2.8,C,12.9,0.4,UTA,1.7,7.5
30,5.1,,0.0,1.6,.462,.439,3.8,8.6,.345,1.2,3.5,.412,5.0,12.0,.813,1.7,2.1,76,69,34.9,Jeff McInnis,0.4,2.3,PG,12.8,0.7,CLE,1.5,2.1
23,2.0,,1.2,3.6,.488,.487,5.2,10.7,.348,0.1,0.4,.482,5.3,11.1,.600,2.0,3.4,63,22,27.0,Darius Miles,1.1,3.0,SF,12.8,1.2,POR,2.5,4.7
34,2.2,,0.3,2.4,.450,.439,4.1,9.4,.327,0.9,2.6,.414,5.0,12.0,.830,2.0,2.4,80,79,30.6,Latrell Sprewell,0.8,1.6,SF,12.8,0.7,MIN,1.6,3.2
33,2.7,,0.5,4.6,.515,.477,2.6,5.5,.372,1.8,4.8,.428,4.4,10.3,.806,2.2,2.7,80,80,35.5,Eddie Jones,0.5,3.1,SF,12.7,1.1,MIA,1.2,5.1
24,1.4,DPOY-18,0.6,4.1,.497,.506,4.5,8.9,.296,0.4,1.5,.475,5.0,10.4,.733,2.2,3.1,76,76,32.2,Josh Howard,2.2,2.8,SF,12.6,1.5,DAL,1.6,6.4
26,4.9,,0.1,2.1,.461,.432,3.1,7.2,.347,1.2,3.5,.405,4.3,10.6,.833,2.7,3.2,71,46,29.4,Dan Dickau,0.5,2.8,PG,12.5,1.1,2TM,2.0,2.5
27,2.1,,0.2,3.3,.496,.442,2.8,6.3,.385,1.6,4.1,.420,4.3,10.3,.832,2.3,2.8,82,61,30.6,Morris Peterson,0.9,2.7,SG,12.5,1.1,TOR,1.1,4.1
27,2.1,,0.2,4.8,.471,.472,5.0,10.6,.200,0.0,0.1,.470,5.0,10.7,.762,2.4,3.1,73,58,29.7,Kenny Thomas,2.5,3.1,PF,12.4,0.9,2TM,1.8,7.3
28,4.5,6MOY-3,0.1,1.3,.447,.432,3.5,8.0,.337,0.7,2.0,.413,4.1,10.0,.921,3.4,3.7,82,5,26.4,Earl Boykins,0.5,1.5,PG,12.4,1.0,DEN,1.5,1.7
27,5.4,,0.2,1.9,.570,.540,3.4,6.2,.420,1.3,3.1,.501,4.7,9.3,.844,1.8,2.2,80,57,30.0,Jason Terry,0.5,2.2,PG,12.4,1.4,DAL,1.8,2.4
28,1.4,,0.1,2.4,.495,.467,4.0,8.5,.403,0.9,2.1,.454,4.8,10.6,.747,1.8,2.4,63,32,28.4,Raja Bell,0.8,3.3,SG,12.3,0.7,UTA,1.3,3.2
19,0.9,"ROY-3,DPOY-21",1.7,6.5,.520,.521,4.3,8.2,.000,0.0,0.0,.520,4.3,8.3,.671,3.4,5.0,82,82,32.6,Dwight Howard,3.5,2.8,PF,12.0,0.9,ORL,2.0,10.0
30,1.0,,0.2,2.7,.465,.466,4.2,9.0,.000,0.0,0.0,.465,4.2,9.0,.828,3.6,4.3,81,23,24.4,Marc Jackson,2.3,2.1,C,12.0,0.4,PHI,1.6,5.0
27,1.5,,0.2,2.7,.498,.451,3.2,7.2,.409,1.2,2.9,.439,4.4,10.1,.786,1.9,2.4,71,68,27.3,Tim Thomas,0.6,3.1,SF,12.0,0.6,NYK,1.6,3.3
34,3.3,DPOY-16,0.1,2.4,.468,.411,2.7,6.6,.375,1.5,3.9,.398,4.2,10.5,.857,2.0,2.4,80,79,34.7,David Wesley,0.5,2.7,SG,11.9,1.2,2TM,1.4,2.9
31,1.9,,0.1,1.8,.477,.447,3.1,6.9,.356,1.3,3.6,.416,4.4,10.6,.757,1.8,2.4,56,1,23.9,Tony Delk,0.5,2.2,SG,11.9,0.8,ATL,1.0,2.3
30,4.1,,0.1,2.4,.465,.407,2.6,6.3,.371,1.5,3.9,.393,4.0,10.2,.862,2.4,2.7,74,32,30.0,Derek Fisher,0.5,2.4,PG,11.9,1.0,GSW,1.7,2.9
29,3.6,,0.1,2.3,.507,.470,3.1,6.6,.386,1.4,3.5,.441,4.5,10.1,.752,1.5,2.0,74,5,25.1,Mike James,0.5,2.4,PG,11.8,0.9,2TM,1.4,2.8
24,1.4,6MOY-5,0.5,3.8,.508,.430,2.2,5.1,.389,2.0,5.2,.409,4.2,10.3,.786,1.3,1.6,63,0,29.5,Vladimir RadmanoviÄ,0.8,2.7,PF,11.8,0.9,SEA,1.3,4.6
19,2.2,ROY-5,0.4,3.8,.458,.472,4.1,8.7,.265,0.5,1.9,.434,4.6,10.6,.741,2.0,2.7,61,45,27.3,Luol Deng,1.5,1.6,SF,11.7,0.8,CHI,1.9,5.3
